ofac_id,uk_id,explanation
9584,8788,ofac_id: 9584 has a jaccard distance of 0.0 with uk_id: 8788 from the name column
9585,8787,ofac_id: 9585 has a jaccard distance of 0.0 with uk_id: 8787 from the name column
9588,8781,ofac_id: 9588 has a jaccard distance of 0.0 with uk_id: 8781 from the name column
9614,8831,ofac_id: 9614 has a jaccard distance of 0.0 with uk_id: 8831 from the name column
9615,8832,ofac_id: 9615 has a jaccard distance of 0.0 with uk_id: 8832 from the name column
9616,8833,ofac_id: 9616 has a jaccard distance of 0.0 with uk_id: 8833 from the name column
9617,8834,ofac_id: 9617 has a jaccard distance of 0.0 with uk_id: 8834 from the name column
9620,8838,ofac_id: 9620 has a jaccard distance of 0.24 with uk_id: 8838 from the name column
9763,9044,ofac_id: 9763 has a jaccard distance of 0.045454545454545414 with uk_id: 9044 from the name column
9764,9045,ofac_id: 9764 has a jaccard distance of 0.040000000000000036 with uk_id: 9045 from the name column
9768,8905,ofac_id: 9768 has a jaccard distance of 0.06896551724137934 with uk_id: 8905 from the name column
9769,8904,ofac_id: 9769 has a jaccard distance of 0.0 with uk_id: 8904 from the name column
9770,13962,ofac_id: 9770 has a jaccard distance of 0.18518518518518523 with uk_id: 13962 from the name column
9797,13919,ofac_id: 9797 has a jaccard distance of 0.1515151515151515 with uk_id: 13919 from the name column
9898,8906,ofac_id: 9898 has a jaccard distance of 0.045454545454545414 with uk_id: 8906 from the name column
10007,8970,ofac_id: 10007 has a jaccard distance of 0.0 with uk_id: 8970 from the name column
10012,10911,ofac_id: 10012 has a jaccard distance of 0.03448275862068961 with uk_id: 10911 from the name column
10033,8708,ofac_id: 10033 has a jaccard distance of 0.0 with uk_id: 8708 from the name column
10035,8710,ofac_id: 10035 has a jaccard distance of 0.0 with uk_id: 8710 from the name column
10036,8713,ofac_id: 10036 has a jaccard distance of 0.0 with uk_id: 8713 from the name column
10117,9070,ofac_id: 10117 has a jaccard distance of 0.16666666666666663 with uk_id: 9070 from the name column
10128,13032,ofac_id: 10128 has a jaccard distance of 0.1875 with uk_id: 13032 from the name column
10130,13033,ofac_id: 10130 has a jaccard distance of 0.08823529411764708 with uk_id: 13033 from the name column
10143,9068,ofac_id: 10143 has a jaccard distance of 0.0625 with uk_id: 9068 from the name column
10145,9067,ofac_id: 10145 has a jaccard distance of 0.15384615384615385 with uk_id: 9067 from the name column
10148,8705,ofac_id: 10148 has a jaccard distance of 0.19999999999999996 with uk_id: 8705 from the name column
10325,9065,ofac_id: 10325 has a jaccard distance of 0.0 with uk_id: 9065 from the name column
10371,8988,ofac_id: 10371 has a jaccard distance of 0.05555555555555558 with uk_id: 8988 from the name column
10374,7611,ofac_id: 10374 has a jaccard distance of 0.18181818181818177 with uk_id: 7611 from the name column
10375,8681,ofac_id: 10375 has a jaccard distance of 0.19047619047619047 with uk_id: 8681 from the name column
10392,10655,ofac_id: 10392 has a jaccard distance of 0.10526315789473684 with uk_id: 10655 from the name column
10479,9057,ofac_id: 10479 has a jaccard distance of 0.0 with uk_id: 9057 from the name column
10480,9058,ofac_id: 10480 has a jaccard distance of 0.0 with uk_id: 9058 from the name column
10483,9061,ofac_id: 10483 has a jaccard distance of 0.0 with uk_id: 9061 from the name column
10483,12182,ofac_id: 10483 has a jaccard distance of 0.0 with uk_id: 12182 from the name column
10489,11143,ofac_id: 10489 has a jaccard distance of 0.0 with uk_id: 11143 from the name column
10490,11136,ofac_id: 10490 has a jaccard distance of 0.08333333333333337 with uk_id: 11136 from the name column
10491,11147,ofac_id: 10491 has a jaccard distance of 0.04166666666666663 with uk_id: 11147 from the name column
10492,11137,ofac_id: 10492 has a jaccard distance of 0.09999999999999998 with uk_id: 11137 from the name column
10493,11139,ofac_id: 10493 has a jaccard distance of 0.09090909090909094 with uk_id: 11139 from the name column
10494,11140,ofac_id: 10494 has a jaccard distance of 0.038461538461538436 with uk_id: 11140 from the name column
10495,11138,ofac_id: 10495 has a jaccard distance of 0.08333333333333337 with uk_id: 11138 from the name column
10496,11135,ofac_id: 10496 has a jaccard distance of 0.08695652173913049 with uk_id: 11135 from the name column
